,don_id,ppe,date,qty
0,don0,printedFaceShields,2020-04-09 13:08:00+00:00,10.0
1,don1,printedFaceShields,2020-04-09 13:36:00+00:00,1.0
2,don10,printedFaceShields,2020-04-10 11:44:00+00:00,20.0
3,don100,nitrileGloves,2020-04-19 04:00:00+00:00,100.0
4,don101,surgicalMasks,2020-04-19 04:00:00+00:00,200.0
5,don102,respirators,2020-04-19 04:00:00+00:00,30.0
6,don103,respirators,2020-04-19 04:00:00+00:00,2.0
7,don104,printedFaceShields,2020-04-19 04:00:00+00:00,20.0
8,don105,printedFaceShields,2020-04-19 04:00:00+00:00,200.0
9,don107,respirators,2020-04-19 04:00:00+00:00,40.0
10,don108,printedFaceShields,2020-04-19 04:00:00+00:00,30.0
11,don109,handmadeMasks,2020-04-19 04:00:00+00:00,25.0
12,don11,printedFaceShields,2020-04-10 12:09:00+00:00,100.0
13,don112,handmadeMasks,2020-04-19 04:00:00+00:00,70.0
14,don114,disinfectingWipes,2020-04-19 04:00:00+00:00,150.0
15,don115,printedFaceShields,2020-04-19 04:00:00+00:00,25.0
16,don116,babyMonitors,2020-04-19 04:00:00+00:00,50.0
17,don117,nitrileGloves,2020-04-19 04:00:00+00:00,1.0
18,don118,nitrileGloves,2020-04-19 04:00:00+00:00,700.0
19,don119,nitrileGloves,2020-04-19 04:00:00+00:00,9.0
20,don12,printedFaceShields,2020-04-10 12:35:00+00:00,500.0
21,don120,nitrileGloves,2020-04-19 04:00:00+00:00,300.0
22,don121,surgicalMasks,2020-04-19 04:00:00+00:00,100.0
23,don122,handmadeMasks,2020-04-19 04:00:00+00:00,18.0
24,don123,handmadeMasks,2020-04-19 04:00:00+00:00,30.0
25,don124,handmadeMasks,2020-04-19 04:00:00+00:00,490.0
26,don125,handmadeMasks,2020-04-19 04:00:00+00:00,500.0
27,don126,coveralls,2020-04-19 04:00:00+00:00,384.0
28,don127,surgicalMasks,2020-04-19 04:00:00+00:00,1000.0
29,don128,faceShields,2020-04-19 04:00:00+00:00,100.0
30,don129,respirators,2020-04-19 04:00:00+00:00,20.0
31,don13,printedFaceShields,2020-04-10 15:12:00+00:00,100.0
32,don130,surgicalMasks,2020-04-19 04:00:00+00:00,50.0
33,don131,surgicalMasks,2020-04-19 04:00:00+00:00,150.0
34,don132,printedFaceShields,2020-04-19 04:00:00+00:00,50.0
35,don133,printedFaceShields,2020-04-19 04:00:00+00:00,100.0
36,don134,respirators,2020-04-19 04:00:00+00:00,10.0
37,don135,respirators,2020-04-19 04:00:00+00:00,300.0
38,don136,printedFaceShields,2020-04-19 04:00:00+00:00,9.0
39,don137,printedFaceShields,2020-04-19 04:00:00+00:00,15.0
40,don138,printedFaceShields,2020-04-19 04:00:00+00:00,42.0
41,don139,respirators,2020-04-19 04:00:00+00:00,200.0
42,don14,printedFaceShields,2020-04-10 18:30:00+00:00,14.0
43,don140,printedFaceShields,2020-04-19 04:00:00+00:00,50.0
44,don141,handmadeMasks,2020-04-19 04:00:00+00:00,200.0
45,don142,respirators,2020-04-19 04:00:00+00:00,30.0
46,don143,respirators,2020-04-19 04:00:00+00:00,15.0
47,don144,printedFaceShields,2020-04-19 04:00:00+00:00,100.0
48,don145,nitrileGloves,2020-04-19 04:00:00+00:00,200.0
49,don147,handmadeMasks,2020-04-19 04:00:00+00:00,50.0
50,don148,handmadeMasks,2020-04-19 04:00:00+00:00,20.0
51,don148,printedFaceShields,2020-04-16 14:49:00+00:00,82.0
52,don149,handmadeMasks,2020-04-19 04:00:00+00:00,1000.0
53,don150,handmadeMasks,2020-04-19 04:00:00+00:00,200.0
54,don152,surgicalMasks,2020-04-19 04:00:00+00:00,150.0
55,don153,surgicalMasks,2020-04-19 04:00:00+00:00,50.0
56,don154,printedFaceShields,2020-04-19 04:00:00+00:00,50.0
57,don155,printedFaceShields,2020-04-19 04:00:00+00:00,100.0
58,don156,printedFaceShields,2020-04-19 04:00:00+00:00,100.0
59,don157,surgicalMasks,2020-04-19 04:00:00+00:00,50.0
60,don159,printedFaceShields,2020-04-19 04:00:00+00:00,50.0
61,don16,printedFaceShields,2020-04-10 20:39:00+00:00,400.0
62,don160,handmadeMasks,2020-04-19 04:00:00+00:00,1.0
63,don161,handmadeMasks,2020-04-19 04:00:00+00:00,33.0
64,don163,handmadeMasks,2020-04-19 04:00:00+00:00,100.0
65,don164,handmadeMasks,2020-04-19 04:00:00+00:00,50.0
66,don165,handmadeMasks,2020-04-19 04:00:00+00:00,100.0
67,don165,printedFaceShields,2020-04-10 04:30:00+00:00,100.0
68,don166,handmadeMasks,2020-04-19 04:00:00+00:00,38.0
69,don167,surgicalMasks,2020-04-19 04:00:00+00:00,1000.0
70,don168,printedFaceShields,2020-04-19 04:00:00+00:00,150.0
71,don169,respirators,2020-04-19 04:00:00+00:00,1.0
72,don17,printedFaceShields,2020-04-10 20:40:00+00:00,30.0
73,don170,handmadeMasks,2020-04-19 04:00:00+00:00,50.0
74,don171,disposableBooties,2020-04-19 04:00:00+00:00,300.0
75,don172,respirators,2020-04-19 04:00:00+00:00,4.0
76,don173,handSanitizer,2020-04-19 04:00:00+00:00,1.0
77,don174,respirators,2020-04-19 04:00:00+00:00,200.0
78,don175,nitrileGloves,2020-04-19 04:00:00+00:00,1.0
79,don176,respirators,2020-04-19 04:00:00+00:00,8.0
80,don177,respirators,2020-04-19 04:00:00+00:00,8.0
81,don178,handmadeMasks,2020-04-19 04:00:00+00:00,30.0
82,don179,handmadeMasks,2020-04-19 04:00:00+00:00,60.0
83,don18,printedFaceShields,2020-04-10 21:04:00+00:00,50.0
84,don180,handmadeMasks,2020-04-19 04:00:00+00:00,50.0
85,don181,handmadeMasks,2020-04-19 04:00:00+00:00,5.0
86,don182,handmadeMasks,2020-04-19 04:00:00+00:00,20.0
87,don183,respirators,2020-04-19 04:00:00+00:00,42.0
88,don184,handmadeMasks,2020-04-19 04:00:00+00:00,500.0
89,don185,handmadeMasks,2020-04-19 04:00:00+00:00,18.0
90,don186,handmadeMasks,2020-04-19 04:00:00+00:00,400.0
91,don187,handmadeMasks,2020-04-19 04:00:00+00:00,15.0
92,don188,handmadeMasks,2020-04-19 04:00:00+00:00,450.0
93,don189,handmadeMasks,2020-04-19 04:00:00+00:00,37.0
94,don19,printedFaceShields,2020-04-10 23:57:00+00:00,30.0
95,don190,handmadeMasks,2020-04-19 04:00:00+00:00,25.0
96,don191,handmadeMasks,2020-04-19 04:00:00+00:00,100.0
97,don192,handmadeMasks,2020-04-19 04:00:00+00:00,260.0
98,don194,respirators,2020-04-19 04:00:00+00:00,10.0
99,don195,printedFaceShields,2020-04-19 04:00:00+00:00,30.0
100,don196,handSanitizer,2020-04-19 04:00:00+00:00,10.0
101,don197,handmadeMasks,2020-04-19 04:00:00+00:00,40.0
102,don199,printedFaceShields,2020-04-19 04:00:00+00:00,20.0
103,don20,printedFaceShields,2020-04-11 12:09:00+00:00,1000.0
104,don200,gowns,2020-04-19 04:00:00+00:00,49.0
105,don201,handmadeMasks,2020-04-19 04:00:00+00:00,50.0
106,don202,handmadeMasks,2020-04-19 04:00:00+00:00,100.0
107,don203,handmadeMasks,2020-04-19 04:00:00+00:00,30.0
108,don205,safetyGlasses,2020-04-19 04:00:00+00:00,1000.0
109,don206,respirators,2020-04-19 04:00:00+00:00,10.0
