,don_id,ppe,date,qty
0,don0,printedFaceShields,2020-04-09 13:08:00+00:00,10.0
1,don1,printedFaceShields,2020-04-09 13:36:00+00:00,1.0
2,don10,printedFaceShields,2020-04-10 11:44:00+00:00,20.0
3,don104,printedFaceShields,2020-04-19 04:00:00+00:00,20.0
4,don105,printedFaceShields,2020-04-19 04:00:00+00:00,200.0
5,don108,printedFaceShields,2020-04-19 04:00:00+00:00,30.0
6,don11,printedFaceShields,2020-04-10 12:09:00+00:00,100.0
7,don115,printedFaceShields,2020-04-19 04:00:00+00:00,25.0
8,don116,babyMonitors,2020-04-19 04:00:00+00:00,50.0
9,don12,printedFaceShields,2020-04-10 12:35:00+00:00,500.0
10,don126,coveralls,2020-04-19 04:00:00+00:00,384.0
11,don13,printedFaceShields,2020-04-10 15:12:00+00:00,100.0
12,don132,printedFaceShields,2020-04-19 04:00:00+00:00,50.0
13,don133,printedFaceShields,2020-04-19 04:00:00+00:00,100.0
14,don136,printedFaceShields,2020-04-19 04:00:00+00:00,9.0
15,don137,printedFaceShields,2020-04-19 04:00:00+00:00,15.0
16,don138,printedFaceShields,2020-04-19 04:00:00+00:00,42.0
17,don14,printedFaceShields,2020-04-10 18:30:00+00:00,14.0
18,don140,printedFaceShields,2020-04-19 04:00:00+00:00,50.0
19,don144,printedFaceShields,2020-04-19 04:00:00+00:00,100.0
20,don148,printedFaceShields,2020-04-16 14:49:00+00:00,82.0
21,don154,printedFaceShields,2020-04-19 04:00:00+00:00,50.0
22,don155,printedFaceShields,2020-04-19 04:00:00+00:00,100.0
23,don156,printedFaceShields,2020-04-19 04:00:00+00:00,100.0
24,don159,printedFaceShields,2020-04-19 04:00:00+00:00,50.0
25,don16,printedFaceShields,2020-04-10 20:39:00+00:00,400.0
26,don165,printedFaceShields,2020-04-10 04:30:00+00:00,100.0
27,don168,printedFaceShields,2020-04-19 04:00:00+00:00,150.0
28,don17,printedFaceShields,2020-04-10 20:40:00+00:00,30.0
29,don18,printedFaceShields,2020-04-10 21:04:00+00:00,50.0
30,don19,printedFaceShields,2020-04-10 23:57:00+00:00,30.0
31,don195,printedFaceShields,2020-04-19 04:00:00+00:00,30.0
32,don199,printedFaceShields,2020-04-19 04:00:00+00:00,20.0
33,don20,printedFaceShields,2020-04-11 12:09:00+00:00,1000.0
34,don205,safetyGlasses,2020-04-19 04:00:00+00:00,1000.0
35,don21,printedFaceShields,2020-04-11 18:00:00+00:00,70.0
36,don217,printedFaceShields,2020-04-19 04:00:00+00:00,11.0
37,don218,printedFaceShields,2020-04-19 04:00:00+00:00,40.0
38,don219,printedFaceShields,2020-04-19 04:00:00+00:00,500.0
39,don22,printedFaceShields,2020-04-11 18:22:00+00:00,50.0
40,don223,printedFaceShields,2020-04-19 04:00:00+00:00,500.0
41,don224,printedFaceShields,2020-04-19 04:00:00+00:00,200.0
42,don229,printedFaceShields,2020-04-19 04:00:00+00:00,50.0
43,don23,printedFaceShields,2020-04-11 21:04:00+00:00,50.0
44,don231,printedFaceShields,2020-04-19 04:00:00+00:00,20.0
45,don234,printedFaceShields,2020-04-19 04:00:00+00:00,200.0
46,don235,printedFaceShields,2020-04-19 04:00:00+00:00,1000.0
47,don237,printedFaceShields,2020-04-10 19:27:00+00:00,10.0
48,don24,printedFaceShields,2020-04-12 11:39:00+00:00,5.0
49,don240,printedFaceShields,2020-04-19 04:00:00+00:00,15.0
50,don241,safetyGlasses,2020-04-19 04:00:00+00:00,1.0
51,don242,printedFaceShields,2020-04-19 04:00:00+00:00,20.0
52,don25,printedFaceShields,2020-04-12 15:57:00+00:00,50.0
53,don251,safetyGlasses,2020-04-19 04:00:00+00:00,4.0
54,don257,printedFaceShields,2020-04-19 13:28:00+00:00,30.0
55,don258,printedFaceShields,2020-04-19 17:09:00+00:00,1000.0
56,don259,printedFaceShields,2020-04-19 17:50:00+00:00,1.0
57,don26,printedFaceShields,2020-04-13 10:09:00+00:00,35.0
58,don260,printedFaceShields,2020-04-19 19:39:00+00:00,50.0
59,don261,printedFaceShields,2020-04-20 09:23:00+00:00,17.0
60,don262,printedFaceShields,2020-04-20 10:49:00+00:00,40.0
61,don264,printedFaceShields,2020-04-20 17:21:39.103000+00:00,600.0
62,don265,printedFaceShields,2020-04-20 17:30:23.989000+00:00,5.0
63,don267,printedFaceShields,2020-04-20 17:46:23.746000+00:00,50.0
64,don27,printedFaceShields,2020-04-13 10:22:00+00:00,100.0
65,don272,printedFaceShields,2020-04-20 19:59:08.633000+00:00,70.0
66,don274,printedFaceShields,2020-04-20 20:39:07.363000+00:00,50.0
67,don276,coveralls,2020-04-21 02:02:11.456000+00:00,1.0
68,don279,coveralls,2020-04-21 02:53:42.850000+00:00,50.0
69,don279,safetyGoggles,2020-04-21 02:53:42.850000+00:00,150.0
70,don28,printedFaceShields,2020-04-13 11:19:00+00:00,100.0
71,don280,printedFaceShields,2020-04-21 03:25:37.143000+00:00,25.0
72,don284,printedFaceShields,2020-04-21 14:39:33.163000+00:00,20.0
73,don289,printedFaceShields,2020-04-21 16:38:16.509000+00:00,100.0
74,don290,printedFaceShields,2020-04-21 16:45:45.569000+00:00,30.0
75,don299,printedFaceShields,2020-04-21 20:19:46.455000+00:00,40.0
76,don3,printedFaceShields,2020-04-09 14:24:00+00:00,5.0
77,don30,printedFaceShields,2020-04-13 12:46:00+00:00,1.0
78,don302,printedFaceShields,2020-04-22 01:05:54.853000+00:00,80.0
79,don307,printedFaceShields,2020-04-22 14:16:56.153000+00:00,70.0
80,don308,printedFaceShields,2020-04-22 15:39:01.825000+00:00,100.0
81,don309,printedFaceShields,2020-04-22 16:29:48.318000+00:00,52.0
82,don31,printedFaceShields,2020-04-13 13:04:00+00:00,500.0
83,don318,printedFaceShields,2020-04-22 19:53:54.254000+00:00,100.0
84,don319,printedFaceShields,2020-04-22 22:15:21.100000+00:00,50.0
85,don32,printedFaceShields,2020-04-13 13:53:00+00:00,50.0
86,don324,printedFaceShields,2020-04-22 23:58:03.765000+00:00,100.0
87,don34,printedFaceShields,2020-04-13 15:00:00+00:00,100.0
88,don342,printedFaceShields,2020-04-23 17:32:14.504000+00:00,20.0
89,don344,printedFaceShields,2020-04-23 18:58:40.446000+00:00,10.0
90,don345,printedFaceShields,2020-04-23 19:14:24.229000+00:00,20.0
91,don346,coveralls,2020-04-23 19:15:25.128000+00:00,20.0
92,don35,printedFaceShields,2020-04-13 15:07:00+00:00,100.0
93,don353,printedFaceShields,2020-04-24 00:15:32.937000+00:00,50.0
94,don36,printedFaceShields,2020-04-13 15:14:00+00:00,48.0
95,don369,printedFaceShields,2020-04-24 19:02:40.375000+00:00,40.0
96,don37,printedFaceShields,2020-04-13 15:47:00+00:00,400.0
97,don375,printedFaceShields,2020-04-24 19:52:46.854000+00:00,100.0
98,don379,printedFaceShields,2020-04-24 21:04:05.796000+00:00,50.0
99,don38,printedFaceShields,2020-04-13 15:51:00+00:00,15.0
100,don388,printedFaceShields,2020-04-25 04:57:21.590000+00:00,600.0
101,don389,printedFaceShields,2020-04-25 13:55:43.942000+00:00,10.0
102,don40,printedFaceShields,2020-04-13 18:58:00+00:00,100.0
103,don41,printedFaceShields,2020-04-13 23:44:00+00:00,100.0
104,don410,safetyGoggles,2020-04-26 04:04:33.215000+00:00,2.0
