,rec_id,date,ppe,qty
1,rec0,2020-04-02 16:27:00+00:00,respirators,10000.0
2,rec0,2020-04-02 16:27:00+00:00,faceShields,5000.0
14,rec0,2020-04-02 16:27:00+00:00,gowns,1000.0
15,rec0,2020-04-02 16:27:00+00:00,nitrileGloves,10000.0
18,rec1,2020-04-02 16:35:00+00:00,respirators,9.0
19,rec1,2020-04-02 16:35:00+00:00,faceShields,9.0
23,rec1,2020-04-02 16:35:00+00:00,disinfectingWipes,4.0
26,rec1,2020-04-02 16:35:00+00:00,handmadeMasks,9.0
28,rec1,2020-04-02 16:35:00+00:00,handSanitizer,4.0
31,rec1,2020-04-02 16:35:00+00:00,gowns,9.0
32,rec1,2020-04-02 16:35:00+00:00,nitrileGloves,5.0
35,rec2,2020-04-02 16:44:00+00:00,respirators,5.0
36,rec2,2020-04-02 16:44:00+00:00,faceShields,10.0
37,rec2,2020-04-02 16:44:00+00:00,thermometers,20.0
39,rec2,2020-04-02 16:44:00+00:00,disposableBooties,100.0
40,rec2,2020-04-02 16:44:00+00:00,disinfectingWipes,300.0
45,rec2,2020-04-02 16:44:00+00:00,handSanitizer,25.0
48,rec2,2020-04-02 16:44:00+00:00,gowns,100.0
52,rec3,2020-04-02 16:47:00+00:00,respirators,200.0
53,rec3,2020-04-02 16:47:00+00:00,faceShields,200.0
54,rec3,2020-04-02 16:47:00+00:00,thermometers,50.0
57,rec3,2020-04-02 16:47:00+00:00,disinfectingWipes,50.0
60,rec3,2020-04-02 16:47:00+00:00,handmadeMasks,100.0
62,rec3,2020-04-02 16:47:00+00:00,handSanitizer,100.0
65,rec3,2020-04-02 16:47:00+00:00,gowns,400.0
66,rec3,2020-04-02 16:47:00+00:00,nitrileGloves,100.0
69,rec4,2020-04-02 16:54:00+00:00,respirators,10.0
71,rec4,2020-04-02 16:54:00+00:00,thermometers,2.0
79,rec4,2020-04-02 16:54:00+00:00,handSanitizer,4.0
82,rec4,2020-04-02 16:54:00+00:00,gowns,30.0
86,rec5,2020-04-02 16:55:00+00:00,respirators,150.0
87,rec5,2020-04-02 16:55:00+00:00,faceShields,100.0
88,rec5,2020-04-02 16:55:00+00:00,thermometers,100.0
90,rec5,2020-04-02 16:55:00+00:00,disposableBooties,100.0
91,rec5,2020-04-02 16:55:00+00:00,disinfectingWipes,100.0
94,rec5,2020-04-02 16:55:00+00:00,handmadeMasks,100.0
96,rec5,2020-04-02 16:55:00+00:00,handSanitizer,250.0
99,rec5,2020-04-02 16:55:00+00:00,gowns,250.0
103,rec6,2020-04-02 16:56:00+00:00,respirators,1100.0
107,rec6,2020-04-02 16:56:00+00:00,disposableBooties,500.0
108,rec6,2020-04-02 16:56:00+00:00,disinfectingWipes,20.0
116,rec6,2020-04-02 16:56:00+00:00,gowns,1200.0
120,rec7,2020-04-02 16:59:00+00:00,respirators,2800.0
122,rec7,2020-04-02 16:59:00+00:00,thermometers,125.0
125,rec7,2020-04-02 16:59:00+00:00,disinfectingWipes,500.0
128,rec7,2020-04-02 16:59:00+00:00,handmadeMasks,1200.0
133,rec7,2020-04-02 16:59:00+00:00,gowns,2000.0
137,rec8,2020-04-02 17:38:00+00:00,respirators,50.0
138,rec8,2020-04-02 17:38:00+00:00,faceShields,50.0
139,rec8,2020-04-02 17:38:00+00:00,thermometers,12.0
141,rec8,2020-04-02 17:38:00+00:00,disposableBooties,50.0
142,rec8,2020-04-02 17:38:00+00:00,disinfectingWipes,50.0
147,rec8,2020-04-02 17:38:00+00:00,handSanitizer,50.0
